db,n,mean_tps,std_tps,ci95,ok_rate,failed_rate,oos_rate,exception_rate,oversell_rate,oversell_total
mongodb,10.0,3381.5049682736812,1085.1750080417032,776.2335038156108,0.16666666666666666,0.0,0.8333333333333334,0.0,0.0,0.0
postgres,10.0,175.82234749683738,4.078731742051865,2.9175462094084623,0.1201,0.0,0.8799,0.0,0.0,0.0
cassandra,10.0,56.50522547566849,0.24549003495059152,0.17560079118057914,0.5922100360576923,0.4077899639423077,0.0,0.11253333333333333,0.0,0.0
