db,n,mean_tps,std_tps,ci95_low,ci95_high,mean_duration_s,ok_rate,failed_rate,oos_rate,exception_rate
mongodb,10.0,4893.96853960944,57.09379933970701,4853.128933482146,4934.808145736734,0.40871620039999995,0.0,0.0,1.0,0.0
postgres,10.0,301.69631720361315,6.127910127495844,297.3129789272211,306.0796554800052,6.631628541799728,0.1,0.01,0.89,0.0
cassandra,10.0,213.00374382368983,9.414250608211571,206.269662517673,219.73782512970666,9.402776583397644,0.49854956486946084,0.06792037611283384,0.4335300590177053,0.0003
