db,n,mean_tps,std_tps,ci95,ok_rate,failed_rate,oos_rate,exception_rate,compensation_rate,excess_failure_rate
mongodb,10.0,1064.7708742216014,28.767595341395182,20.577668267994863,0.5997,0.4003,0.0,0.0,0.4003,0.00029999999999996696
postgres,10.0,163.75203114483043,2.996447656603607,2.1433806033580423,0.6007,0.3993,0.0,0.0,0.0,-0.0007000000000000339
cassandra,10.0,83.32106239901982,2.0502550713335856,1.4665622281598232,0.5905181036207241,0.40948189637927584,0.0,0.0002,0.40078015603120626,0.009481896379275823
